City (County),Paper Name,Website Url,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes
Abbeville (Henry),The Abbeville Herald,www.theabbevilleherald.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Albertville (Marshall),The Sand Mountain Reporter,www.sandmountainreporter.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Alexander City (Tallapoosa),Alexander City Outlook,www.alexcityoutlook.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Andalusia (Covington),The Andalusia Star News,www.andalusiastarnews.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Anniston (Calhoun),The Anniston Star,www.annistonstar.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Arab (Marshall),The Arab Tribune,www.thearabtribune.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Athens (Limestone),The Athens News Courier,www.enewscourier.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Atmore (Escambia),The Atmore Advance,www.atmoreadvance.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Auburn (Lee),The Auburn Villager,www.auburnvillager.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Bessemer (Jefferson),The Western Star,www.westernstar.news,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Birmingham (Jefferson),Alabama Messenger,www.alabamamessenger.com,Manual Review,Manual Review,No,No,Manual Review,None,No paywall signals found | No notices found | No homepage HTML available
Birmingham (Jefferson),Birmingham Business Journal,www.bizjournals.com,No,No,Yes,No,Yes,Sitemap+Homepage,Homepage contains paywall keywords | No notices found | Viewport meta tag present
Birmingham (Jefferson),Alabama Media Group,www.al.com,No,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Brewton (Escambia),The Brewton Standard,www.brewtonstandard.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Camden (Wilcox),Wilcox Progressive Era,www.thewilcoxprogressiveera.com,No,No,Yes,Yes,Yes,Sitemap+Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Carrollton (Pickens),Pickens County Herald,www.pcherald.com,No,No,Yes,Yes,Yes,Homepage+RSS,RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present
Centre (Cherokee),The Cherokee Post-Herald,www.cherokeeherald.com,No,No,No,No,Yes,Homepage+RSS,RSS present (indicates article content) | No paywall signals found | No notices found | Viewport meta tag present
