Paper Name,Website Url,City,County,State,Chain/Owner,Publication Frequency,Notes
Alexandria Gazette Packet,http://www.alexandriagazette.com/,Alexandria,Alexandria City,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,"Part of regional Northern Virginia Connection group covering Arlington, Fairfax, Loudoun, Alexandria."
Alexandria Times,https://alextimes.com/,Alexandria,Alexandria City,VA,Independent (locally owned by Times Newspapers LLC),Weekly,Community paper established 2005 covering city government and business.
"Altavista Journal, The",http://www.altavistajournal.com/,Altavista,Campbell,VA,Lee Enterprises (Lynchburg News & Advance group),Weekly,Operates under The News & Advance regional network.
"Amelia Bulletin Monitor, The",http://www.ameliamonitor.com/,Amelia Court House,Amelia,VA,Independent (Amelia Bulletin Monitor Inc.),Weekly,Local family-owned paper covering Amelia County since 1973.
American Press Institute,https://americanpressinstitute.org/,Arlington,Arlington,VA,Nonprofit journalism think tank (not a newspaper),N/A,Research and training organization affiliated with News Media Alliance.
Amherst New Era-Progress,https://newsadvance.com/news/community/new-era-progress/,Amherst,Amherst,VA,Lee Enterprises (subsidiary of The News & Advance),Weekly,Community publication produced by The News & Advance newsroom in Lynchburg.
Arlington Catholic Herald,https://www.catholicherald.com/,Arlington,Arlington,VA,Catholic Diocese of Arlington,Weekly,Official newspaper of the Diocese of Arlington (faith-based).
Arlington Connection,http://www.arlingtonconnection.com/,Arlington,Arlington,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,Part of Connection Newspapers chain with editions in Fairfax and Loudoun counties.
Associated Press,https://www.ap.org/,Washington,Arlington,VA,Independent cooperative news agency,Daily,National/international wire service headquartered in DC metro region.
Bedford Bulletin,https://www.bedfordbulletin.com/,Bedford,Bedford,VA,Lee Enterprises (subsidiary of The News & Advance Lynchburg),Weekly,Community weekly operated by The News & Advance newsroom under Lee Enterprises.
Blue Ridge Leader & Loudoun Today,https://blueridgeleader.com/,Leesburg,Loudoun,VA,Independent (Blue Ridge Leader Media Group LLC),Monthly/biweekly,Locally owned community paper serving western Loudoun County.
"Breeze, The",https://www.breezejmu.org/,Harrisonburg,Harrisonburg City,VA,James Madison University (student publication),Biweekly,Independent student-run news organization at JMU.
Bristol Herald Courier,https://www.heraldcourier.com/,Bristol,Washington,VA,Lee Enterprises,Daily,Regional daily covering Southwest Virginia and Northeast Tennessee.
Brunswick Times-Gazette,http://www.brunswicktimes-gazette.com/,Lawrenceville,Brunswick,VA,Independent (Brunswick Times-Gazette Inc.),Weekly,Locally owned community paper since 1876.
Burke Connection,http://www.burkeconnection.com/,Burke,Fairfax,VA,Local Media Connection LLC (Connection Newspapers group),Weekly,Part of the Northern Virginia Connection network.
C-Ville Weekly,http://www.c-ville.com/,Charlottesville,Albemarle,VA,Portico Publications Ltd.,Weekly,"Alternative newsweekly covering culture, politics, and local business."
"Cadet, The",https://cadetnewspaper.com/,Lexington,Rockbridge,VA,Virginia Military Institute (independent alumni/student-run publication),Quarterly/Online,Revived VMI newspaper now operated by The Cadet Foundation.
Cardinal News,https://cardinalnews.org/,Roanoke,Roanoke City,VA,Independent nonprofit newsroom (Cardinal News Inc.),Daily (digital),Nonprofit newsroom founded 2021 covering Southwest and Southside Virginia.
"Carroll News, The",https://www.thecarrollnews.com/,Hillsville,Carroll,VA,Champion Media LLC,Weekly,Part of regional group with titles in Virginia and North Carolina (Champion Media).
"Cavalier Daily, The",http://www.cavalierdaily.com/,Charlottesville,Albemarle,VA,University of Virginia (independent student publication),Daily (academic year),Independent UVA student-run paper established 1890.
