Paper Name,City,County,State,Address,Chain,Website Url,Frequency
The Barbour Democrat,Philippi,Barbour,WV,PO Box 459,Independent (Locally owned; family-operated weekly),https://www.barbourdemocratwv.com,Wednesday
Bluefield Daily Telegraph,Bluefield,Mercer,WV,PO Box 928,CNHI (Community Newspaper Holdings Inc.),https://www.bdtonline.com,Daily
Braxton Citizens News,Sutton,Braxton,WV,501 Main St.,Independent (Braxton Newspapers Inc.),https://www.bcn-news.com,Tuesday
Braxton Democrat Central,Sutton,Braxton,WV,PO Box 427,Independent (Merged historically with Citizens News; same publisher),N/A,Friday
The Brooke County Review,Wellsburg,Brooke,WV,319 Charles St.,Independent (Brooke County Publishing),https://www.brookecountyreview.com,Friday
Calhoun Chronicle,Grantsville,Calhoun,WV,PO Box 400,Independent (Calhoun Publishing Co.),https://www.calhounchronicle.com,Thursday
The Charleston Gazette-Mail,Charleston,Kanawha,WV,1001 Virginia St. E,HD Media Group (Charleston Newspapers / Herald-Dispatch ownership),https://www.wvgazettemail.com,Daily
The Exponent Telegram,Clarksburg,Harrison,WV,324 Hewes Ave.,WV News (NCWV Media / West Virginia News Company),https://www.theet.com,Daily
The Clay County Free Press,Clay,Clay,WV,PO Box 180,Independent (Clay Communications / local ownership),https://www.claycountyfreepress.com,Wednesday
Coal Valley News,Madison,Boone,WV,PO Box 508,HD Media Group (Boone Newspapers cluster),https://www.coalvalleynews.com,Wednesday
Daily Athenaeum,Morgantown,Monongalia,WV,284 Prospect St,West Virginia University (Student Media; Independent university-owned),https://www.thedaonline.com,Daily
Doddridge Independent,West Union,Doddridge,WV,200 East Main Street,Independent (Locally owned; Doddridge Publishing),https://www.thedoddridgeindependent.com,Weekly
The Dominion Post,Morgantown,Monongalia,WV,1251 Earl L. Core Rd,Independent (Dominion Post Inc.; locally owned by Jack Rossi family),https://www.dominionpost.com,Daily
The Fayette Tribune,Oak Hill,Fayette,WV,PO Box 139,HD Media Group (formerly CNHI; part of HD’s southern WV cluster),https://www.fayettetribune.com,Monday &amp; Thursday
Gilbert Times,Gilbert,Mingo,WV,PO Box 1135,HD Media Group (same ownership as Logan Banner and Williamson Daily News),https://www.gilberttimes.net,Tuesday
The Glenville Democrat,Glenville,Gilmer,WV,PO Box 458,Independent (Glenville Newspapers Inc.),https://www.glenvillenews.com,Thursday
The Glenville Pathfinder,Glenville,Gilmer,WV,PO Box 458,Independent (Companion publication of Glenville Democrat),https://www.glenvillenews.com,Thursday
Grant County Press,Petersburg,Grant,WV,PO Box 39,Independent (Grant County Press Inc.; family-owned),https://www.grantcountypress.com,Tuesday
The Hampshire Review,Romney,Hampshire,WV,PO Drawer 1036,Independent (Hampshire Review Co.; locally owned weekly),https://www.hampshirereview.com,Wednesday
Hometown News,New Manchester,Hancock,WV,PO Box 107,Independent (Locally owned; community weekly serving Hancock County),N/A,Wednesday
