Paper ID,Paper Name,City,State,Website URL,Phone,Mailing Address,County,Chain Owner,CMS Platform,CMS Vendor,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes,Latest Audit Timestamp,Extra Data
813,Pentagram,Arlington,VA,dcmilitary.com/pentagram,,,Arlington,Independent,BLOX Digital,BLOX,Yes,No,No,Yes,Yes,Homepage+RSS,"Homepage contains e-edition style link(s): /pentagram/eedition, /pentagram/eedition/, /pentagram/eedition_archive/ | Homepage contains article-style link(s): /pentagram/news/, /pentagram/news/news_notes/, /pentagram/community/ | Homepage contains article-style content | RSS present but contains no entries | No paywall signals found | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-12T11:51:14.866071,{}
852,NARFE,Alexandria,VA,narfe.org,,,Alexandria (Independent City),Independent,WordPress,Manual Review,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://www.narfe.org/magazine-issues/ | Homepage contains article-style link(s): https://www.narfe.org/blog/category/news/, /blog/category/news/advocacy/, https://www.narfe.org/blog/category/news/federal-benefits-institute/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json",2025-12-11T19:28:35.591768,{}
1303,Virginia Lawyers Weekly,Richmond,VA,https://valawyersweekly.com/,,,Richmond City,Independent,WordPress,NewsPack,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://virginialawyersweekly-va.newsmemory.com/ | Homepage contains article-style link(s): #, https://idahobusinessreview.com/, https://neworleanscitybusiness.com/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json | Detected vendor indicators (NewsPack): wpengine",2025-12-12T12:12:13.836043,"{""Notes"": ""Specialized legal and business publication owned by BridgeTower Media."", ""Chain/Owner"": ""BridgeTower Media (GateHouse/Gannett subsidiary)"", ""Publication Frequency"": ""Weekly""}"
1309,Virginia Business,Richmond,VA,http://www.virginiabusiness.com/,,,Richmond City,Independent,WordPress,Manual Review,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://colormagazine.com/, https://virginiabusiness-va.newsmemory.com/, https://virginiabusiness-va.newsmemory.com/ssindex.php | Homepage contains article-style link(s): #, https://neworleanscitybusiness.com/, https://idahobusinessreview.com/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json",2025-12-12T12:12:05.014634,"{""Notes"": ""Statewide business magazine established in 1986; independently owned."", ""Chain/Owner"": ""Virginia Business Publications LLC"", ""Publication Frequency"": ""Monthly""}"
1425,Rappahannock Record,Kilmarnock,VA,http://rrecord.com/,,,Lancaster,Independent,WordPress,Manual Review,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Found 4 PDF links on homepage | Homepage contains article-style link(s): https://rrecord.com/, https://rrecord.com/#, https://rrecord.com/all-news/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json",2025-12-12T11:56:30.612475,"{""Notes"": ""Family-owned since 1916; independent community newspaper for the Northern Neck."", ""Chain/Owner"": ""Independent (Rappahannock Record Inc.)"", ""Publication Frequency"": ""Weekly""}"
1438,"News-Watchman, The",Henderson,VA,https://www.newswatchman.com/,,,Chester,Independent,BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition, /eedition/, /site/e-edition_how-to.html | Homepage contains article-style link(s): https://www.facebook.com/newswatchman, https://apg03.newzware.com/ss70v2/adams/common/template.jsp?skin=isj&nwmodule=sso&init=nonsub&nwpage=sso&rpage=https%3A%2F%2Fwww.newswatchman.com%2Ftncms%2Fauth%2Fbegin%2F%3Fprovider%3DNewzware%26return%3Dhttps%253A%252F%252Fwww.newswatchman.com%252F, https://www.newswatchman.com/users/login/?referer_url=https%3A%2F%2Fwww.newswatchman.com%2F | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-12T12:09:14.819048,{}
1450,Gloucester-Mathews Gazette-Journal,Gloucester,VA,http://www.gazettejournal.net/,,,Gloucester,Independent,WordPress,Manual Review,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://gazettejournal-va.newsmemory.com/ | Homepage contains article-style link(s): https://www.gazettejournal.net/news/special-events/, https://www.gazettejournal.net/news/all-news/, https://www.gazettejournal.net/category/news/gloucester-board-of-supervisors/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wordpress, wp-json",2025-12-11T19:23:32.023427,"{""Notes"": ""Family-owned independent weekly serving Gloucester and Mathews counties since 1935."", ""Chain/Owner"": ""Independent (Gloucester-Mathews Gazette-Journal Inc.)"", ""Publication Frequency"": ""Weekly""}"
1501,Hidden Spring Veterinary Clinic,Upperville,VA,http://www.hiddenspringvet.com/,,,Fauquier,,Brightspot,,,,,,,,,,{}
1505,Brookrun Animal Clinic,Richmond,VA,http://www.brookrunanimalclinic.com/,,,Henrico,Independent,WordPress,Brightspot,No,No,No,No,No,Homepage,Homepage contains article-style content | No paywall signals found | No notices found | No responsive indicators | Detected platform indicators (WordPress): wp-content | Detected vendor indicators (Brightspot): brightspot,2025-12-11T19:03:30.998371,{}
1511,WTVR CBS 6 News,Richmond,VA,https://www.wtvr.com/,,,Henrico,Independent,Brightspot,Brightspot,No,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): /news/local-news, /news/national-news, /sports | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (Brightspot): brightspot | Detected vendor indicators (Brightspot): brightspot",2025-12-12T12:15:09.266381,{}
