Paper ID,Paper Name,City,State,Website URL,Phone,Mailing Address,County,Chain Owner,CMS Platform,CMS Vendor,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes,Latest Audit Timestamp,Extra Data
1359,Bluefield Daily Telegraph,Bluefield,WV,https://www.bdtonline.com,,PO Box 928,Mercer,CNHI (Community Newspaper Holdings Inc.),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /e-edition, http://prerogativemagazine.cnhi.newsmemory.com/, https://niagara-gazette-cnhi.newsmemory.com/?special=Explore | Homepage contains article-style link(s): https://visitor.r20.constantcontact.com/d.jsp?llr=zzoml49ab&p=oi&m=1128481045305&sit=iq8vgcwlb&f=1b0d492b-7e38-4613-9164-919f39ec6021, https://niagara-gazette-cnhi.newsmemory.com/?special=Explore, /news/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Homepage snapshot truncated to 500,000 characters | Overrides applied: chain_owner",2025-12-11T15:57:25.197932,"{""Frequency"": ""Daily""}"
1440,HNG News,Huntington,WV,https://www.hngnews.com/,,,Wayne,Independent,BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/bridal-2025/edition_a1f77eca-828e-5632-a6ee-e9248a552196.html, /eedition/healthy-lifestyles-february-2025/edition_f294c5f4-9b5a-558e-b5bc-82cb585018e0.html, /eedition/healthy-lifestyles-january-2025/edition_d3e529b4-b59d-519d-83c0-caf8bcf1b9d8.html | Homepage contains article-style link(s): https://cambridgenews-wi.newsmemory.com/, https://www.hngnews.com/newsletters/, https://new.evvnt.com/?with_navbar&force_snap_sell&partner=HNGNEWS&publisher_url:hngnews.com#/quick | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T15:58:59.111259,{}
2025,Legal Newsline / West Virginia Record (legal news network),Charleston,WV,https://www.legalnewsline.com/west-virginia-record/,,,Kanawha,Independent,BLOX Digital,BLOX,No,No,Yes,No,Yes,Homepage+RSS,"Homepage contains article-style link(s): /newsletter/, https://www.facebook.com/pages/Legal-Newsline/299588323424419, http://twitter.com/legalnewsline | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T15:59:07.248636,{}
2044,Star City TV (broadcast network; not newspaper),Morgantown,WV,https://www.starcitytv.com/,,,Monongalia,Independent,BLOX Digital,BLOX,No,No,No,No,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): /news, /news/local, /news/national | Homepage contains article-style content | RSS present but contains no entries | No paywall signals found | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T16:01:43.137184,{}
2076,West Virginia News (Clarksburg Exponent Telegram group),Clarksburg,WV,https://www.wvtnews.com/,,,Harrison,Independent,BLOX Digital,BLOX,No,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): https://www.wvtnews.com/users/signup/?referer_url=https%3A%2F%2Fwww.wvtnews.com%2F, https://www.wvtnews.com/users/login/?referer_url=https%3A%2F%2Fwww.wvtnews.com%2F, https://www.wvtnews.com/users/admin/ | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T16:08:00.816988,{}
2306,Spencer Times Record,Spencer,WV,https://www.thetimesrecord.net/,,,Roane,Independent,BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage,"Homepage contains e-edition style link(s): /eedition/, /newsfeed/us/time-magazine-names-architects-of-ai-as-its-person-of-the-year-for-2025/article_7aaba78f-3182-512c-b867-0b688262e9a1.html, /spencernews/eedition/ | Homepage contains article-style link(s): /newsletters/, /, /bluegoldnews/ | Homepage contains article-style content | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews | Detected vendor indicators (BLOX): tncms, bloximages, townnews | Homepage snapshot truncated to 500,000 characters",2025-12-11T16:01:32.743732,{}
3155,The Oracle and Leader,West Union,WV,https://www.oracleandleader.com/,,,Doddridge,Independent,WordPress,Websites For Newspapers,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485 | Homepage contains article-style link(s): https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485, https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485&view=subscribe, https://2202.newstogo.us/editionviewer/default.aspx?Publication=a82fc50d-794c-4b52-a545-9687c0b08485&view=archives | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers",2025-12-11T16:05:14.383743,{}
3211,Ritchie County News,Pennsboro,WV,https://www.ritchiecountynews.com/,,,Ritchie,Independent,WordPress,Websites For Newspapers,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://2213.newstogo.us/editionviewer/default.aspx?Publication=9d0b36e2-7e68-472a-a5d1-b9aaa741c288 | Homepage contains article-style link(s): https://www.ritchiecountynews.com/contact-us/, https://2213.newstogo.us/editionviewer/default.aspx?Publication=9d0b36e2-7e68-472a-a5d1-b9aaa741c288, https://2213.newstogo.us/editionviewer/default.aspx?Publication=9d0b36e2-7e68-472a-a5d1-b9aaa741c288&view=subscribe | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers",2025-12-11T16:00:00.950305,{}
3235,Wirt County Journal,Elizabeth,WV,https://www.wirtjournal.com,,PO Box 309,Wirt,Independent,WordPress,Websites For Newspapers,Yes,Yes,Yes,No,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4 | Homepage contains article-style link(s): https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4, https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4&view=subscribe, https://1821.newstogo.us/editionviewer/default.aspx?Publication=02f8db82-805c-4340-8d86-2940081fb9c4&view=archives | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers | Overrides applied: chain_owner, pdf_only",2025-12-11T16:19:18.449658,"{""Frequency"": ""Wednesday""}"
3242,Brooke County Review,Wellsburg,WV,https://brookecountyreview.com/,,,Brooke,Independent,WordPress,Websites For Newspapers,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): #, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6&view=archives | Homepage contains article-style link(s): https://www.bensoncountynews.com/contact-us/, https://www.bensoncountynews.com/contact-us-lakota-american/, http://1979.newstogo.us/editionviewer/default.aspx?Publication=92041853-6808-4ed6-b7a1-afee094135f6 | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wp-includes, wp-json | Detected vendor indicators (Websites For Newspapers): websitesfornewspapers",2025-12-11T15:58:11.048235,{}
