Paper ID,Paper Name,City,State,Website URL,Phone,Mailing Address,County,Chain Owner,CMS Platform,CMS Vendor,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes,Latest Audit Timestamp,Extra Data
1059,Wyoming Pioneer,Sundance,WY,https://www.wyopio.com/,(307) 283-3411,"311 Main St, Sundance, WY 82729",Crook County,Independent,ROAR,Lion's Light,No,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains article-style link(s): https://www.wyopio.com/section/news, https://www.wyopio.com/section/news/courts%5Fand%5Fpolice, https://www.wyopio.com/section/news/state%5Fand%5Fregion | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected vendor indicators (Lion's Light): lionslight",2025-12-11T15:20:46.972789,"{""Owner/Group"": ""The Sundance Times (since 2004)""}"
1336,Wyoming Tribune Eagle,Cheyenne,WY,www.wyomingnews.com,,,Laramie,Adams Publishing Group (APG West Division),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): /eedition/, https://wyomingnews-wy.newsmemory.com/, site/help/replica/e-edition_how-to.html | Homepage contains article-style link(s): https://www.facebook.com/wtenews, https://twitter.com/wtenews, https://apg05.newzware.com/ss70v2/adams/common/template.jsp?nwmodule=sso&skin=wte&init=nonsub&nwpage=sso&rpage=https%3A%2F%2Fwww.wyomingnews.com%2Ftncms%2Fauth%2Fbegin%2F%3Fprovider%3DNewzware%26return%3Dhttps%253A%252F%252Fwww.wyomingnews.com%252F | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Homepage snapshot truncated to 500,000 characters | Overrides applied: chain_owner",2025-12-11T15:09:57.475081,{}
1369,Lovell Chronicle,Lovell,WY,www.lovellchronicle.com,,,Big Horn,Independent,Drupal,Surf New Media,Yes,No,Yes,Yes,Yes,Homepage+RSS,"Homepage contains e-edition style link(s): /content/ten-receive-postseason-honors-lovell-bulldogs, https://lovellchronicle-wy.newsmemory.com | Homepage contains article-style link(s): /category/news, /category/sports-0, /category/communitypeople-0 | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (Drupal): drupal.settings, drupal | Detected vendor indicators (Surf New Media): surfnewmedia, surf new media | Overrides applied: chain_owner",2025-12-11T15:02:54.587016,"{""Notes"": ""Family-owned; long-time community weekly""}"
1371,Wild Sage Interiors,Sheridan,WY,http://wildsageinteriors.com/,,,Sheridan County,Independent,Tecnavia,Manual Review,Yes,Yes,No,No,No,Homepage,Homepage contains e-edition style link(s): http://summitdailynews.co.ussrv15.newsmemory.com/special.php?date=20100902 | PDF-only: RSS lacks article entries; no sitemap detected | No paywall signals found | No notices found | No responsive indicators | Detected platform indicators (Tecnavia): newsmemory,2025-12-11T15:09:30.238598,{}
1381,Buffalo Bulletin,Buffalo,WY,www.buffalobulletin.com,,,Johnson,Independent (Angus M. Thuermer Jr.),BLOX Digital,BLOX,Yes,No,Yes,Yes,Yes,Homepage+RSS+Sitemap,"Homepage contains e-edition style link(s): http://buffalobulletin.wy.newsmemory.com/ | Homepage contains article-style link(s): /news/, /news/local_news/, /site/forms/online_services/submit_news | Homepage contains article-style content | RSS present but contains no entries | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | RSS feed contains notice keywords | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms | Overrides applied: chain_owner",2025-12-11T15:01:44.605602,{}
1388,Greybull Standard,Greybull,WY,www.greybullstandard.com,,,Big Horn,Independent (Sister paper to Basin Republican Rustler),Drupal,Surf New Media,Yes,No,Yes,Yes,Yes,Homepage+RSS,"Homepage contains e-edition style link(s): https://greybullstandard-wy.newsmemory.com/ | Homepage contains article-style link(s): /category/news, /category/sports-0, /category/community-people | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains paywall hints | Homepage contains public notice keywords | Viewport meta tag present | Detected platform indicators (Drupal): drupal.settings, drupal | Detected vendor indicators (Surf New Media): surfnewmedia, surf new media | Overrides applied: chain_owner",2025-12-11T15:02:24.342213,{}
1424,Wyoming Historical Museum (blog),Douglas,WY,http://wyominghsmc.blogspot.com/,,,Converse County,Independent,WordPress,Manual Review,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Found 1 PDF links on homepage | Homepage contains article-style link(s): http://grandrapidspress.mi.newsmemory.com/, http://vgroom34.blogspot.com/ | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (WordPress): wp-content, wordpress",2025-12-11T15:09:37.466249,{}
1455,Wheatland High School Athletics,Wheatland,WY,http://www.whathletics.com/,,,Platte County,Independent,Tecnavia,Manual Review,Yes,No,Yes,No,Yes,Homepage+RSS+Sitemap,"Found 3 PDF links on homepage | Homepage contains article-style link(s): https://goo.gl/forms/lSFtamtypiTZBRdP2, https://team1sports.com/highschool/ma/?S=whitmanhansonpanthers, http://www.flickr.com/photos/wh-sports | Homepage contains article-style content | RSS present (indicates article content) | Homepage contains paywall keywords | RSS feed contains paywall hints | No notices found | Viewport meta tag present | Detected platform indicators (Tecnavia): newsmemory",2025-12-11T15:09:26.917075,{}
1475,Traditions West,Cheyenne,WY,https://traditionswest.com/,,,Laramie County,Independent,Tecnavia,Manual Review,Yes,Yes,Yes,No,Yes,Homepage+Sitemap,Homepage contains e-edition style link(s): https://renogazettejournal-nv.newsmemory.com/?publink=2d1a0357e_13436cd | PDF-only: RSS lacks article entries | Homepage contains paywall keywords | No notices found | Viewport meta tag present | Detected platform indicators (Tecnavia): newsmemory,2025-12-11T15:08:15.292647,{}
1965,Wyoming News Now (TV station; not newspaper),Cheyenne,WY,https://www.wyomingnewsnow.tv/,,,Laramie,Independent,BLOX Digital,BLOX,Yes,No,No,No,Yes,Homepage+RSS+Sitemap,"Found 2 PDF links on homepage | Homepage contains article-style link(s): https://www.wyomingnewsnow.tv/users/signup/?referer_url=https%3A%2F%2Fwww.wyomingnewsnow.tv%2F, https://www.wyomingnewsnow.tv/users/login/?referer_url=https%3A%2F%2Fwww.wyomingnewsnow.tv%2F, https://www.wyomingnewsnow.tv/users/admin/ | Homepage contains article-style content | RSS present but contains no entries | No paywall signals found | No notices found | Viewport meta tag present | Detected platform indicators (BLOX Digital): tncms, bloximages, townnews, bloxcms | Detected vendor indicators (BLOX): tncms, bloximages, townnews, bloxcms",2025-12-11T15:09:42.370805,{}
