City,Paper Name,Website Url,Has PDF Edition?,PDF-Only?,Paywall?,Free Public Notices?,Mobile Responsive?,Audit Sources,Audit Notes
Newark,The Star-Ledger,https://www.nj.com/starledger/,No,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Asbury Park / Neptune,Asbury Park Press,https://www.app.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Morristown / Parsippany,Daily Record,https://www.dailyrecord.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Cherry Hill,Courier-Post,https://www.courierpostonline.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Bridgewater / Somerville,Courier News,https://www.mycentraljersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
East Brunswick / New Brunswick,Home News Tribune,https://www.mycentraljersey.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Atlantic City,The Press of Atlantic City,https://pressofatlanticcity.com/,No,No,Yes,Yes,Yes,Homepage+Heuristic:Lee+Sitemap+RSS,"RSS present (indicates article content) | Chain heuristic: Lee, not PDF-only | Chain heuristic: Lee, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Trenton,The Times of Trenton,https://www.nj.com/times/,No,No,Yes,Yes,Yes,Homepage+Heuristic:Gannett,"Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Trenton,The Trentonian,https://www.trentonian.com/,No,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage+Sitemap+RSS,"RSS present (indicates article content) | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
Westampton / Willingboro,Burlington County Times,https://www.burlingtoncountytimes.com/,Yes,No,Yes,Yes,Yes,Heuristic:Gannett+Homepage,"Found 1 PDF links on homepage | Chain heuristic: Gannett, not PDF-only | Chain heuristic: Gannett, default Paywall=Yes | Homepage contains public notice keywords | Viewport meta tag present"
